f,0.2,0.4,0.6,0.8,1.0,1.2,1.4,1.6,1.8,2.0,2.2,2.4,2.6,2.8,3.0,3.2,3.4,3.6,3.8,4.0,4.2,4.4,4.6,4.8,5.0
10.0,0.9799,0.97876,0.9797400000000002,0.9790199999999999,0.97916,0.97636,0.9692399999999999,0.96774,0.9626999999999999,0.95702,0.94058,0.88286,0.6795399999999999,0.60564,0.5654999999999999,0.5286199999999999,0.5052599999999999,0.43796,0.37302,0.31762,0.16324000000000002,0.098,0.098,0.098,0.098
9.75,0.97894,0.9785,0.97922,0.9783799999999999,0.9792,0.9771999999999998,0.9714,0.96656,0.96484,0.95734,0.94704,0.9163,0.77984,0.62322,0.5813200000000001,0.5739000000000001,0.54462,0.45788,0.41791999999999996,0.36235999999999996,0.25804,0.098,0.098,0.098,0.098
9.5,0.97898,0.97972,0.9788600000000001,0.97888,0.9789999999999999,0.97726,0.9719999999999999,0.9682000000000001,0.9666599999999999,0.9605400000000002,0.9529799999999999,0.9242799999999999,0.8010400000000001,0.66816,0.6434599999999999,0.58342,0.56028,0.5078199999999999,0.46676,0.41089999999999993,0.3668,0.15652000000000002,0.098,0.098,0.098
9.25,0.97956,0.97834,0.97868,0.9795999999999999,0.97918,0.97728,0.9732800000000001,0.96876,0.96624,0.96286,0.95548,0.93692,0.85648,0.70834,0.6337400000000001,0.6119399999999999,0.57622,0.53524,0.5054000000000001,0.44254,0.39996,0.30119999999999997,0.098,0.098,0.098
9.0,0.97902,0.97852,0.97912,0.97888,0.9788399999999999,0.9788,0.97378,0.96874,0.9654,0.9636000000000001,0.9579000000000001,0.9431200000000001,0.8996600000000001,0.78384,0.65212,0.65082,0.60738,0.57866,0.53806,0.4795,0.43682,0.40548,0.12744,0.098,0.098
8.75,0.97868,0.97944,0.97934,0.97898,0.97958,0.9783999999999999,0.9750400000000001,0.96838,0.96706,0.9656400000000002,0.9621600000000001,0.9522,0.9231199999999999,0.81788,0.66996,0.66076,0.63432,0.6091200000000001,0.57472,0.5126799999999999,0.47673999999999994,0.41588,0.14945999999999998,0.098,0.098
8.5,0.9788,0.9787600000000001,0.9791399999999999,0.97934,0.9791000000000001,0.97854,0.9771000000000001,0.97034,0.9674400000000001,0.96746,0.96404,0.9574200000000002,0.9357000000000001,0.87652,0.75974,0.66984,0.65804,0.65104,0.6140599999999999,0.55528,0.5468,0.4763400000000001,0.2137,0.098,0.098
8.25,0.9792,0.9790800000000001,0.9795400000000001,0.9791000000000001,0.97926,0.9792799999999999,0.9764799999999999,0.9706399999999998,0.96836,0.9677,0.96286,0.9597199999999999,0.9448000000000001,0.9093600000000001,0.83422,0.7081799999999999,0.65966,0.6769399999999999,0.6311,0.60748,0.5437000000000001,0.50966,0.45662,0.13762,0.098
8.0,0.97936,0.9795,0.9789999999999999,0.97984,0.9791599999999999,0.9790599999999999,0.977,0.9710599999999999,0.9690000000000001,0.9666399999999999,0.96532,0.96208,0.95558,0.9309000000000001,0.8587,0.7630399999999999,0.69406,0.6901599999999999,0.6655200000000001,0.6303799999999999,0.58458,0.5622800000000001,0.4413,0.24338000000000007,0.098
7.75,0.97912,0.9795999999999999,0.9785400000000001,0.97898,0.9799,0.97948,0.9783799999999999,0.97342,0.9692999999999999,0.96874,0.96656,0.96408,0.9583200000000002,0.94338,0.8871800000000001,0.81204,0.73162,0.7115799999999999,0.7008599999999999,0.6671,0.6500400000000001,0.62268,0.5640799999999999,0.41864,0.098
7.5,0.9795,0.9786199999999999,0.9795,0.97966,0.97942,0.9788,0.9784200000000001,0.97564,0.9713200000000001,0.96882,0.96752,0.96556,0.9620200000000001,0.9510200000000001,0.9156199999999999,0.8529199999999999,0.7824,0.7258800000000001,0.70208,0.6968799999999999,0.6577599999999999,0.6367800000000001,0.6162799999999999,0.5714400000000001,0.20817999999999998
7.25,0.98002,0.9792799999999999,0.97858,0.9787800000000001,0.97896,0.97934,0.97774,0.97582,0.97076,0.97004,0.9681000000000001,0.9669800000000001,0.96532,0.9587599999999998,0.9384399999999999,0.8913800000000001,0.8107,0.7569,0.7293800000000001,0.71668,0.7099599999999999,0.6990599999999999,0.6605,0.63206,0.3750800000000001
7.0,0.97942,0.9789199999999999,0.9791799999999998,0.97934,0.97896,0.9791000000000001,0.97818,0.9763999999999999,0.97212,0.97094,0.9702999999999999,0.9686600000000001,0.9662600000000001,0.9606999999999999,0.9496600000000001,0.9171799999999999,0.8784599999999999,0.79604,0.7640800000000001,0.7432399999999999,0.7320200000000001,0.72008,0.6909600000000001,0.65086,0.5848000000000001
6.75,0.97966,0.97988,0.9791000000000001,0.9793199999999999,0.9797799999999999,0.97956,0.9790000000000001,0.9778800000000001,0.9724999999999999,0.9700200000000001,0.97044,0.96944,0.96732,0.9651400000000001,0.9567399999999999,0.93568,0.89506,0.8452200000000001,0.7807000000000001,0.7509599999999998,0.75702,0.74652,0.72098,0.6768799999999999,0.67608
6.5,0.9798600000000001,0.97898,0.9782,0.97942,0.9800799999999998,0.9788399999999999,0.97962,0.9778800000000001,0.97334,0.97202,0.97072,0.9696,0.97,0.9658599999999999,0.9619200000000001,0.94878,0.9141,0.8685,0.8059799999999999,0.7891400000000001,0.76624,0.75808,0.75298,0.72336,0.7046
6.25,0.9795399999999999,0.9798199999999999,0.97922,0.97934,0.9800800000000001,0.9794999999999998,0.97904,0.97862,0.97624,0.97126,0.97148,0.97014,0.9703199999999998,0.9682999999999999,0.96424,0.9583999999999999,0.9253600000000001,0.9092399999999999,0.8684,0.80694,0.8015399999999999,0.7919,0.75742,0.73586,0.7398
